relative_path,file_role,role_note,old,domain,repository_url,number_of_imports,number_of_external_imports,number_of_internal_imports,number_of_standard_imports,number_of_classes,number_of_functions,is_entry_point,has_wait_state,number_of_decorators,number_of_base_classes,has_model_in_path,has_view_in_path,has_test_in_path,has_util_in_path,has_migration_in_path,has_script_in_path,has_middleware_in_path,has_enum_in_path,has_config_in_path,path_depth,functions_to_classes_ratio,external_import_ratio,code_complexity
nsidnev-fastapi-realworld-example-app-029eb77/app/api/dependencies/articles.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,17,8,8,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.4705882352941176,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/dependencies/authentication.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,17,9,6,2,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4.0,0.5294117647058824,1
nsidnev-fastapi-realworld-example-app-029eb77/app/api/dependencies/comments.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,15,8,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5333333333333333,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/dependencies/database.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,4,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/dependencies/profiles.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,12,5,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.4166666666666667,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/errors/http_error.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,1.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/errors/validation_error.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.75,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/api.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,1.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/articles/api.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.0,1.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/articles/articles_common.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,17,9,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.5294117647058824,0
